Date Expiration,Client,N° consultation,Intitulé du projet,Lien
2025-02-20,HUHABIB BOURGUIBA SFAX -Hôpital Universitaire Habib Bourguiba Sfax,S20250202901,pc portable (crédit recherche des jeunes chercheurs),http://www.tunisurf.com/v3/?mod=6013&aoid=495448&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-02-27,HRTABARKA - Hôpital Régional de Tabarka,S20250202902,Accessoires informatiques,http://www.tunisurf.com/v3/?mod=6013&aoid=495458&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-02-27,HRTABARKA - Hôpital Régional de Tabarka,S20250202914,Fourniture de bureau,http://www.tunisurf.com/v3/?mod=6013&aoid=495460&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-02-28,Sheraton Tunis,-,travaux d'aménagement de la salle des conférences (salle Kairouan) - 03 lot - électricité - staff - menuiseries,http://www.tunisurf.com/v3/?mod=6013&aoid=495426&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-02-20,PCBORJERROUMI - Prison Civile de Borj Erroumi de Bizerte,S20250202931,Consultation 36 lampes à halogénure à double pincement,http://www.tunisurf.com/v3/?mod=6013&aoid=495445&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-02-24,CMNT-Centre de Maternité et de Néonatalogie de Tunis,S20250202881,Projet d'installation des onduleurs et d'un tableau électrique dans le service des urgences au Centre de Maternité et de Néonatologie de Tunis - CMNT,http://www.tunisurf.com/v3/?mod=6013&aoid=495450&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-02-24,HSAHLOUL - Hôpital Sahloul de Sousse,S20250202900,Conclusion dun contrat de maintenance des groupes électrogènes,http://www.tunisurf.com/v3/?mod=6013&aoid=495452&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-03-10,CRDA de Tozeur,S20250202930,Travaux de remplacement et dentretien des postes transformateurs,http://www.tunisurf.com/v3/?mod=6013&aoid=495469&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-02-19,HCKELIBIA - Hôpital de circonscription Brahim El-Gharbi de Kelibia,S20250202913,Fournitures de sécurité et de protection au travail,http://www.tunisurf.com/v3/?mod=6013&aoid=495438&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-02-28,TELETUN - Télévision Tunisienne,S20250202932,Caméscopes vidéo de poing avec capteur de type 1 pouce avec accessoires,http://www.tunisurf.com/v3/?mod=6013&aoid=495462&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-02-19,HSAHLOUL - Hôpital Sahloul de Sousse,S20250202890,"Sachet , porte manteau & Produits de Nettoyage",http://www.tunisurf.com/v3/?mod=6013&aoid=495435&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-03-11,STEG - Société Tunisienne de lElectricité et du Gaz,-,additif et report de date limite au 11-03-2025 AO-2024A2060 Acquisition de mobilier de bureau,http://www.tunisurf.com/v3/?mod=6013&aoid=495417&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-02-18,STEG - Société Tunisienne de lElectricité et du Gaz,-,Report de date limite au 18-02-2025 AO-2024G112 - Acquisition d'huiles de lubrification en 02 lots,http://www.tunisurf.com/v3/?mod=6013&aoid=495421&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-03-12,AFH - Agence Foncière dHabitation,-,Désignation d'un réviseur légal des comptes pour les exercices 2025 2026 2027,http://www.tunisurf.com/v3/?mod=6013&aoid=495424&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-03-02,ISET NABEUL - Institut Supérieur des Etudes Technologiques de Nabeul,S20250202933,Formation des Porteurs de Projets Et des Techniciens de Laboratoires - Champs de Formation Spécifique,http://www.tunisurf.com/v3/?mod=6013&aoid=495466&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-03-10,FACMEDSOUSSE - Faculté de Médecine de Sousse,-,location d'un local pour photocopies,http://www.tunisurf.com/v3/?mod=6013&aoid=495419&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
2025-02-19,HHABIBTHAMEUR - Hôpital Habib Thameur,S20250202899,ACQUISITION FICHE UNITE DE PHYSIOTHERAPIE,http://www.tunisurf.com/v3/?mod=6013&aoid=495433&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO
